datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,ATSI,PAPWR,410.807,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PE,PE,3725.909,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2369.466,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PL,PLCO,3861.890,False
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PN,PN,1614.702,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PS,PS,4120.482,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,RECO,RECO,129.771,False
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PEP,SMECO,436.380,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PL,UGI,106.668,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,AE,VMEU,63.859,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RTO,RTO,RTO,RTO,80929.141,False
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,AE,AECO,880.426,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,AEP,AEPAPT,4225.935,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,AEP,AEPIMP,2493.474,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,AEP,AEPKPT,676.149,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,AEP,AEPOPT,5922.184,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,AP,AP,5099.065,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,BC,BC,3039.451,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,CE,CE,8984.907,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,DAY,DAY,1667.000,False
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,DEOK,DEOK,2657.225,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,SERC,SOUTH,DOM,DOM,13325.136,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1881.424,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,DUQ,DUQ,1300.502,False
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,DPL,EASTON,27.119,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,SERC,WEST,EKPC,EKPC,1786.905,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,JC,JC,2030.133,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,ME,ME,1359.203,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,ATSI,OE,5804.167,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,OVEC,OVEC,34.000,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,ATSI,PAPWR,403.841,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,PE,PE,3642.788,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2311.989,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,PL,PLCO,3793.866,False
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,PN,PN,1599.200,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,PS,PS,4015.627,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,RECO,RECO,125.078,False
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,PEP,SMECO,431.828,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,PL,UGI,103.680,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,AE,VMEU,62.689,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RTO,RTO,RTO,RTO,79684.991,False
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,AE,AECO,863.023,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,AEP,AEPAPT,4250.125,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2460.641,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,AEP,AEPKPT,683.528,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,AEP,AEPOPT,5848.448,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,AP,AP,5074.489,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,BC,BC,3008.238,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,CE,CE,8811.101,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,DAY,DAY,1651.000,False
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,DEOK,DEOK,2623.738,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,SERC,SOUTH,DOM,DOM,13302.830,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,DPL,DPLCO,1876.569,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,DUQ,DUQ,1297.889,False
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,DPL,EASTON,27.617,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,SERC,WEST,EKPC,EKPC,1789.212,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,JC,JC,1990.227,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,ME,ME,1350.567,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,ATSI,OE,5670.543,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,OVEC,OVEC,34.000,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,ATSI,PAPWR,402.834,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,PE,PE,3598.126,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,2283.633,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,PL,PLCO,3770.495,False
