datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,AE,AECO,870.261,False
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPAPT,4070.164,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2613.607,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPKPT,631.271,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6290.276,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,AP,AP,4982.306,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,BC,BC,2889.348,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,CE,CE,9569.912,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,DAY,DAY,1667.680,False
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,DEOK,DEOK,2538.273,False
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,SERC,SOUTH,DOM,DOM,12464.698,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1695.384,False
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,DUQ,DUQ,1299.378,False
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,DPL,EASTON,23.448,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,SERC,WEST,EKPC,EKPC,1692.863,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,JC,JC,2081.664,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,ME,ME,1377.191,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,ATSI,OE,6048.698,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,OVEC,OVEC,39.000,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,ATSI,PAPWR,399.402,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,PE,PE,3576.373,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2234.328,False
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,PL,PLCO,3710.967,False
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,PN,PN,1593.307,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,PS,PS,4068.850,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,RECO,RECO,128.186,False
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,PEP,SMECO,358.297,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,PL,UGI,103.183,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,AE,VMEU,65.522,True
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RTO,RTO,RTO,RTO,79083.837,False
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,AE,AECO,849.973,False
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPAPT,4047.853,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2578.711,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPKPT,621.429,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6272.861,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,AP,AP,4915.405,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,BC,BC,2849.470,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,CE,CE,9351.387,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,DAY,DAY,1642.680,False
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,DEOK,DEOK,2492.391,False
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,SERC,SOUTH,DOM,DOM,12350.936,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1660.454,False
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,DUQ,DUQ,1281.090,False
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,DPL,EASTON,23.175,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,SERC,WEST,EKPC,EKPC,1703.133,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,JC,JC,1999.858,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,ME,ME,1347.796,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,ATSI,OE,5930.039,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,OVEC,OVEC,36.000,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,ATSI,PAPWR,401.287,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,PE,PE,3435.604,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2212.661,False
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,PL,PLCO,3612.964,False
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,PN,PN,1568.543,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,PS,PS,3966.606,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,RECO,RECO,124.659,False
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,PEP,SMECO,353.838,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,PL,UGI,98.877,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,AE,VMEU,64.269,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RTO,RTO,RTO,RTO,77793.949,False
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,AE,AECO,822.307,False
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPAPT,4063.941,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPIMP,2550.580,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPKPT,618.239,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6220.314,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,AP,AP,4858.319,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,BC,BC,2801.299,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,CE,CE,9192.332,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,DAY,DAY,1611.680,False
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,DEOK,DEOK,2475.554,False
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,SERC,SOUTH,DOM,DOM,12218.446,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1634.267,False
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,DUQ,DUQ,1295.316,False
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,DPL,EASTON,22.952,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,SERC,WEST,EKPC,EKPC,1677.335,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,JC,JC,1926.544,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,ME,ME,1315.703,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,ATSI,OE,5865.100,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,OVEC,OVEC,33.000,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,ATSI,PAPWR,399.644,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,PE,PE,3366.035,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2156.297,False
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,PL,PLCO,3516.880,False
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,PN,PN,1543.773,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,PS,PS,3851.354,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,RECO,RECO,119.817,False
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,PEP,SMECO,347.869,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,PL,UGI,96.330,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,AE,VMEU,62.507,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RTO,RTO,RTO,RTO,76663.734,False
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,AE,AECO,806.422,False
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPAPT,4107.687,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2478.585,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPKPT,624.823,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6145.519,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,AP,AP,4909.786,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,BC,BC,2769.025,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,CE,CE,9082.426,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,DAY,DAY,1603.690,False
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,DEOK,DEOK,2452.084,False
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,SERC,SOUTH,DOM,DOM,12219.991,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,DPL,DPLCO,1627.739,False
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,DUQ,DUQ,1288.290,False
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,DPL,EASTON,22.745,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,SERC,WEST,EKPC,EKPC,1674.022,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,JC,JC,1893.457,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,ME,ME,1294.902,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,ATSI,OE,5868.162,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,OVEC,OVEC,35.000,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,ATSI,PAPWR,402.116,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,PE,PE,3309.721,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,2121.470,False
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,PL,PLCO,3508.788,False
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,PN,PN,1535.881,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,PS,PS,3767.111,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,RECO,RECO,117.142,False
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,PEP,SMECO,347.960,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,PL,UGI,94.065,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,AE,VMEU,61.915,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RTO,RTO,RTO,RTO,76170.524,False
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,MIDATL,AE,AECO,808.329,False
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPAPT,4152.281,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPIMP,2539.176,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPKPT,627.309,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6177.637,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,WEST,AP,AP,4962.423,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,MIDATL,BC,BC,2774.589,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,WEST,CE,CE,9043.957,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,WEST,DAY,DAY,1610.680,False
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,WEST,DEOK,DEOK,2455.113,False
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,SERC,SOUTH,DOM,DOM,12352.585,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,MIDATL,DPL,DPLCO,1647.970,False
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,WEST,DUQ,DUQ,1300.005,False
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,MIDATL,DPL,EASTON,23.283,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,SERC,WEST,EKPC,EKPC,1640.920,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,MIDATL,JC,JC,1888.278,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,MIDATL,ME,ME,1298.198,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,WEST,ATSI,OE,5808.812,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,WEST,OVEC,OVEC,40.000,True
